iter	Accuracy	Logloss
0	0.8118490312	0.6610999291
1	0.8195766603	0.6282477555
2	0.8268563109	0.6008919317
3	0.8249524023	0.5812780495
4	0.8252883862	0.561309455
5	0.8241684399	0.5432137004
6	0.8234964722	0.5267298806
7	0.8259603539	0.5120207555
8	0.8277522679	0.5006536285
9	0.8286482249	0.4888496719
10	0.8279762571	0.4789044644
11	0.8289842088	0.4697009121
12	0.8286482249	0.46201762
13	0.8282002464	0.4520751343
14	0.8302161496	0.4434127177
15	0.8324560421	0.4355298654
16	0.835479897	0.4288497981
17	0.8369358271	0.4226858033
18	0.8380557733	0.4170487615
19	0.8388397357	0.4104027848
20	0.8400716766	0.4048871353
21	0.8419755852	0.3997926282
22	0.8427595475	0.3953574023
23	0.8442154777	0.3911319198
24	0.8452234293	0.3873572908
25	0.8455594131	0.3834858021
26	0.846791354	0.3798035438
27	0.8477993056	0.3771363754
28	0.8488072573	0.3744168918
29	0.848583268	0.3716153381
30	0.8490312465	0.3693368516
31	0.850375182	0.3663112137
32	0.8507111659	0.363618533
33	0.8516071229	0.3617148778
34	0.8520551014	0.3600641613
35	0.8525030799	0.3578774349
36	0.8536230261	0.3557764023
37	0.8544069885	0.3533970664
38	0.8545189831	0.3519386056
39	0.8551909508	0.3505167837
40	0.8553029455	0.3487620285
41	0.8561989025	0.3466053948
42	0.8560869078	0.345490303
43	0.8569828648	0.3436648536
44	0.8576548326	0.3421232288
45	0.8578788218	0.3409574187
46	0.8587747788	0.3398253098
47	0.8591107627	0.3384966682
48	0.8598947251	0.3372495423
49	0.8597827304	0.3358738919
50	0.8602307089	0.3351740675
51	0.8602307089	0.333668804
52	0.860790682	0.3316976586
53	0.8619106283	0.3302461956
54	0.8623586068	0.3295433176
55	0.8633665584	0.3281827005
56	0.8639265315	0.3272626033
57	0.8638145369	0.3263703566
58	0.8647104939	0.3254975186
59	0.8645984993	0.3252725486
60	0.8654944563	0.3244248219
61	0.8654944563	0.3234708824
62	0.8651584724	0.3228128139
63	0.8659424348	0.3223876554
64	0.8657184455	0.3214343055
65	0.8662784186	0.3206606716
66	0.8668383918	0.3198960837
67	0.8676223541	0.3186555107
68	0.8682943219	0.3174551443
69	0.8684063165	0.3168750391
70	0.8681823272	0.3158136405
71	0.8684063165	0.3151563356
72	0.8685183111	0.3149759781
73	0.8689662896	0.3146090688
74	0.869750252	0.3135330425
75	0.8705342144	0.3124928991
76	0.8705342144	0.3120034037
77	0.8704222197	0.3116501928
78	0.8701982305	0.311200798
79	0.870646209	0.3107320958
80	0.8704222197	0.31066165
81	0.8704222197	0.3098032487
82	0.8709821929	0.3091403656
83	0.871542166	0.3084887539
84	0.8723261283	0.3078267638
85	0.8718781498	0.3074027044
86	0.8723261283	0.3069586522
87	0.8723261283	0.3069185448
88	0.8726621122	0.306386284
89	0.8729980961	0.3063109007
90	0.8729980961	0.3058600735
91	0.8734460746	0.3052824153
92	0.8743420316	0.3041840169
93	0.8744540262	0.3038428682
94	0.8743420316	0.3035252407
95	0.8743420316	0.3028913336
96	0.875125994	0.3018333416
97	0.8747900101	0.3012544097
98	0.8747900101	0.301252176
99	0.8750139993	0.3009220066
100	0.8750139993	0.3007520127
101	0.875125994	0.3004842459
102	0.8752379886	0.3000005412
103	0.8755739724	0.2998008618
104	0.8757979617	0.2994050653
105	0.8755739724	0.2991443619
106	0.8754619778	0.2990057302
107	0.8755739724	0.2980962405
108	0.8765819241	0.2973326464
109	0.8771418972	0.2970028841
110	0.8772538918	0.2965704583
111	0.8775898757	0.296337975
112	0.8775898757	0.2963379732
113	0.8780378542	0.2954203536
114	0.8779258596	0.2948523993
115	0.8780378542	0.2940237196
116	0.8781498488	0.2939995291
117	0.8782618434	0.293847065
118	0.8782618434	0.293494564
119	0.8785978273	0.2926903405
120	0.8789338112	0.2921746264
121	0.8788218166	0.2917232072
122	0.8800537574	0.2910999717
123	0.880165752	0.2905218347
124	0.8802777467	0.290323994
125	0.8800537574	0.2900499526
126	0.8799417628	0.2895672937
127	0.8802777467	0.2892230537
128	0.8813976929	0.2883545076
129	0.881061709	0.2882042991
130	0.881061709	0.2877843508
131	0.8813976929	0.2876530416
132	0.8808377198	0.2874358981
133	0.8806137305	0.2871533878
134	0.8806137305	0.2870239157
135	0.8811737037	0.286529755
136	0.8822936499	0.2855619365
137	0.882853623	0.2851243945
138	0.8826296338	0.2843594148
139	0.8827416284	0.2837189389
140	0.8826296338	0.2835525972
141	0.8827416284	0.2831029727
142	0.8830776123	0.2828827136
143	0.8833016015	0.2822337848
144	0.8839735693	0.2820361436
145	0.8839735693	0.2819028792
146	0.8839735693	0.2819028792
147	0.8844215478	0.281560244
148	0.8843095531	0.2813724791
149	0.8843095531	0.2812500218
150	0.8843095531	0.2812410666
151	0.8843095531	0.2812230425
152	0.8843095531	0.2807807911
153	0.8845335424	0.280344772
154	0.884645537	0.2800859388
155	0.8847575316	0.2794481467
156	0.8848695263	0.2790397722
157	0.884645537	0.2789929847
158	0.8845335424	0.2786824892
159	0.8849815209	0.2784413926
160	0.8854294994	0.2777473168
161	0.8853175048	0.2771819142
162	0.8857654833	0.2766767958
163	0.8861014671	0.2759891307
164	0.8866614403	0.2757811301
165	0.8863254564	0.2753179921
166	0.8868854295	0.2743487313
167	0.8871094187	0.2740605695
168	0.887333408	0.2733990833
169	0.8875573972	0.2730439407
170	0.8876693919	0.2728169797
171	0.8877813865	0.2727737086
172	0.8881173704	0.2722276759
173	0.8877813865	0.2718477648
174	0.8878933811	0.2713432994
175	0.8880053757	0.2713425229
176	0.8883413596	0.2706978722
177	0.8884533542	0.2704921128
178	0.8889013327	0.2699026458
179	0.8889013327	0.2693295493
180	0.889125322	0.2685021357
181	0.8890133274	0.2680941467
182	0.890021279	0.2672830759
183	0.8903572629	0.2666781613
184	0.890917236	0.2659420842
185	0.8910292306	0.2653050482
186	0.8913652145	0.2649888243
187	0.8919251876	0.2647753415
188	0.8925971553	0.2642959879
