iter	Passed	Remaining
0	160	80268
1	229	57240
2	303	50346
3	365	45349
4	429	42487
5	498	41052
6	575	40551
7	639	39301
8	704	38433
9	769	37686
10	827	36797
11	894	36366
12	967	36235
13	1031	35825
14	1089	35223
15	1146	34673
16	1204	34226
17	1260	33752
18	1322	33475
19	1379	33108
20	1435	32738
21	1492	32434
22	1548	32115
23	1607	31890
24	1677	31880
25	1735	31643
26	1794	31445
27	1848	31161
28	1903	30909
29	1957	30667
30	2012	30449
31	2073	30324
32	2128	30117
33	2202	30188
34	2273	30204
35	2340	30166
36	2406	30114
37	2471	30052
38	2535	29969
39	2599	29894
40	2662	29809
41	2724	29712
42	2786	29614
43	2849	29535
44	2912	29444
45	2972	29340
46	3038	29284
47	3112	29307
48	3183	29296
49	3246	29214
50	3302	29071
51	3368	29018
52	3430	28936
53	3488	28810
54	3545	28685
55	3603	28568
56	3664	28480
57	3724	28379
58	3793	28354
59	3856	28281
60	3913	28166
61	3970	28047
62	4040	28025
63	4098	27918
64	4159	27835
65	4221	27760
66	4300	27790
67	4382	27840
68	4452	27814
69	4516	27742
70	4605	27829
71	4706	27979
72	4748	27775
73	4813	27707
74	4874	27620
75	4934	27529
76	5006	27504
77	5069	27425
78	5131	27346
79	5203	27320
80	5252	27171
81	5331	27178
82	5432	27295
83	5507	27277
84	5590	27296
85	5671	27303
86	5736	27231
87	5801	27159
88	5866	27093
89	5913	26941
90	5980	26880
91	6038	26777
92	6100	26696
93	6161	26613
94	6227	26548
95	6294	26490
96	6365	26445
97	6423	26351
98	6454	26142
99	6510	26043
100	6564	25934
101	6623	25842
102	6678	25739
103	6734	25641
104	6793	25554
105	6849	25458
106	6904	25360
107	6960	25265
108	7018	25176
109	7073	25078
110	7129	24985
111	7175	24858
112	7193	24635
113	7248	24542
114	7327	24531
115	7402	24503
116	7432	24331
117	7493	24259
118	7556	24192
119	7617	24123
120	7674	24037
121	7729	23949
122	7784	23859
123	7841	23777
124	7899	23697
125	7962	23635
126	8025	23571
127	8083	23494
128	8145	23426
129	8204	23352
130	8260	23267
131	8319	23194
132	8377	23116
133	8430	23026
134	8487	22947
135	8543	22867
136	8600	22787
137	8668	22738
138	8733	22682
139	8803	22636
140	8868	22581
141	8928	22509
142	8998	22465
143	9064	22409
144	9141	22381
145	9271	22480
146	9286	22301
147	9363	22270
148	9443	22245
149	9516	22205
150	9576	22133
151	9635	22059
152	9707	22015
153	9776	21966
154	9844	21911
155	9902	21835
156	9971	21785
157	10031	21713
158	10092	21644
159	10157	21584
160	10230	21541
161	10363	21622
162	10431	21567
163	10498	21508
164	10563	21446
165	10627	21382
166	10688	21313
167	10756	21257
168	10823	21198
169	10882	21124
170	10939	21046
171	10997	20972
172	11054	20895
173	11117	20828
174	11179	20761
175	11205	20628
176	11260	20548
177	11320	20478
178	11382	20412
179	11438	20335
180	11496	20261
181	11559	20198
182	11625	20138
183	11685	20068
184	11745	19999
185	11804	19928
186	11865	19859
187	11921	19783
188	11984	19720
189	12044	19651
190	12103	19580
191	12159	19505
192	12218	19435
193	12275	19363
194	12295	19231
195	12354	19162
196	12411	19090
197	12478	19032
198	12535	18960
199	12592	18888
200	12647	18814
201	12704	18741
202	12767	18678
203	12823	18606
204	12889	18548
205	12946	18477
206	13009	18414
207	13067	18345
208	13128	18279
209	13188	18213
210	13246	18143
211	13306	18076
212	13367	18012
213	13423	17940
214	13482	17871
215	13541	17804
216	13597	17732
217	13655	17663
218	13714	17597
219	13777	17534
220	13840	17472
221	13906	17414
222	13971	17354
223	14030	17287
224	14088	17219
225	14145	17150
226	14204	17083
227	14268	17022
228	14334	16963
229	14400	16904
230	14460	16839
231	14543	16800
232	14613	16745
233	14670	16677
234	14740	16622
235	14813	16570
236	14889	16522
237	15001	16514
238	15085	16473
239	15230	16499
240	15298	16441
241	15355	16370
242	15417	16306
243	15482	16243
244	15541	16175
245	15612	16119
246	15673	16054
247	15731	15985
248	15788	15915
249	15854	15854
250	15912	15786
251	15978	15725
252	16038	15657
253	16098	15591
254	16158	15524
255	16217	15457
256	16276	15389
257	16332	15319
258	16396	15257
259	16457	15191
260	16516	15124
261	16572	15054
262	16630	14986
263	16691	14920
264	16753	14856
265	16815	14792
266	16879	14730
267	16937	14662
268	16998	14596
269	17058	14531
270	17119	14465
271	17186	14406
272	17246	14340
273	17303	14271
274	17361	14204
275	17420	14137
276	17478	14071
277	17536	14004
278	17602	13943
279	17663	13878
280	17721	13811
281	17781	13746
282	17842	13681
283	17901	13615
284	17964	13552
285	18021	13484
286	18080	13418
287	18139	13352
288	18197	13286
289	18259	13222
290	18316	13155
291	18381	13093
292	18444	13030
293	18502	12964
294	18561	12898
295	18620	12833
296	18681	12768
297	18738	12702
298	18805	12642
299	18878	12585
300	18941	12522
301	19025	12473
302	19093	12413
303	19168	12358
304	19233	12296
305	19293	12231
306	19355	12168
307	19435	12115
308	19501	12054
309	19564	11991
310	19622	11925
311	19682	11859
312	19740	11793
313	19797	11727
314	19859	11663
315	19918	11597
316	19987	11538
317	20048	11474
318	20109	11410
